1	200	12318	1
2	200	64487	1
3	200	9801	1
4	200	13553	1
5	200	2786	1
6	200	14527	1
7	200	6550	1
8	200	15841	1
9	200	64400	1
10	200	13598	1
11	200	14356	1
12	200	6312	1
13	200	8550	1
14	200	46626	1
15	200	3284	1
16	200	2798	1
17	200	10807	1
18	200	62317	1
19	200	22801	1
20	200	64559	1
21	200	1779	1
22	200	26257	1
23	200	10806	1
24	200	64397	1
25	200	26282	1
26	200	9821	1
27	200	10314	1
28	200	12528	1
29	200	9805	1
30	200	780	1
31	200	12327	1
32	200	11328	1
33	200	15573	1
34	200	13756	1
35	200	10314	1
36	200	3038	1
37	200	8317	1
38	200	9031	1
39	200	9583	1
40	200	14583	1
41	200	11302	1
42	200	12595	1
43	200	10500	1
44	200	5566	1
45	200	4040	1
46	200	13824	1
47	200	6330	1
48	200	2030	1
49	200	7829	1
50	200	10065	1
51	200	6818	1
52	200	3038	1
53	200	2042	1
54	200	14329	1
55	200	64382	1
56	200	13553	1
57	200	2785	1
58	200	10079	1
59	200	64468	1
60	200	13851	1
61	200	64381	1
62	200	8570	1
63	200	6080	1
64	200	64310	1
65	200	64202	1
66	200	64421	1
67	200	10081	1
68	200	61961	1
69	200	11783	1
70	200	12076	1
71	200	41059	1
72	200	9996	1
73	200	2534	1
74	200	8293	1
75	200	5553	1
76	200	64468	1
77	200	64334	1
78	200	15544	1
79	200	1533	1
80	200	8554	1
81	200	62126	1
82	200	6056	1
83	200	4541	1
84	200	64478	1
85	200	8990	1
86	200	8050	1
87	200	6292	1
88	200	780	1
89	200	2534	1
90	200	64374	1
91	200	64352	1
92	200	64388	1
93	200	7038	1
94	200	13318	1
95	200	782	1
96	200	15591	1
97	200	1029	1
98	200	64481	1
99	200	3038	1
100	200	10264	1
101	200	6075	1
102	200	4790	1
103	200	9550	1
104	200	9801	1
105	200	64408	1
106	200	12321	1
107	200	8329	1
108	200	9811	1
109	200	64489	1
110	200	12249	1
111	200	61087	1
112	200	14019	1
113	200	14092	1
114	200	64365	1
115	200	64431	1
116	200	7813	1
117	200	779	1
118	200	14566	1
119	200	1783	1
120	200	13311	1
121	200	46946	1
122	200	9795	1
123	200	64273	1
124	200	7036	1
125	200	64225	1
126	200	5538	1
127	200	14758	1
128	200	6799	1
129	200	13513	1
130	200	10078	1
131	200	11326	1
132	200	64473	1
133	200	19863	1
134	200	1783	1
135	200	5292	1
136	200	12767	1
137	200	64409	1
138	200	9556	1
139	200	9058	1
140	200	63035	1
141	200	4284	1
142	200	64474	1
143	200	61227	1
144	200	5292	1
145	200	4805	1
146	200	64424	1
147	200	64453	1
148	200	60692	1
149	200	9828	1
150	200	64370	1
151	200	35356	1
152	200	15338	1
153	200	64373	1
154	200	12771	1
155	200	8765	1
156	200	40371	1
157	200	4766	1
158	200	8562	1
159	200	15510	1
160	200	5056	1
161	200	64415	1
162	200	48587	1
163	200	64412	1
164	200	64413	1
165	200	61213	1
166	200	10279	1
167	200	12088	1
168	200	30443	1
169	200	12826	1
170	200	64569	1
171	200	61120	1
172	200	1279	1
173	200	15557	1
174	200	783	1
175	200	9803	1
176	200	12521	1
177	200	7322	1
178	200	64390	1
179	200	15032	1
180	200	6064	1
181	200	15336	1
182	200	8557	1
183	200	7323	1
184	200	6288	1
185	200	3038	1
186	200	10846	1
187	200	44391	1
188	200	64291	1
189	200	10300	1
190	200	2790	1
191	200	3552	1
192	200	60729	1
193	200	1528	1
194	200	5291	1
195	200	29077	1
196	200	5795	1
197	200	14268	1
198	200	64362	1
199	200	9049	1
200	200	43462	1
201	200	11995	1
202	200	3024	1
203	200	14593	1
204	200	4541	1
205	200	5808	1
206	200	13601	1
207	200	64524	1
208	200	13336	1
209	200	10564	1
210	200	3793	1
211	200	64547	1
212	200	64217	1
213	200	9842	1
214	200	64588	1
215	200	11846	1
216	200	7746	1
217	200	64403	1
218	200	15532	1
219	200	12041	1
220	200	12851	1
221	200	7498	1
222	200	6767	1
223	200	64455	1
224	200	780	1
225	200	6796	1
226	200	15614	1
227	200	63038	1
228	200	62454	1
229	200	1282	1
230	200	60829	1
231	200	10588	1
232	200	7515	1
233	200	43446	1
234	200	8563	1
235	200	15594	1
236	200	9252	1
237	200	15534	1
238	200	61251	1
239	200	11803	1
240	200	9818	1
241	200	64385	1
242	200	48366	1
243	200	64344	1
244	200	64496	1
245	200	1541	1
246	200	64451	1
247	200	7995	1
248	200	8492	1
249	200	8531	1
250	200	7814	1
251	200	9568	1
252	200	63476	1
253	200	63234	1
254	200	62204	1
255	200	62879	1
256	200	61567	1
257	200	10841	1
258	200	8781	1
259	200	4056	1
260	200	12016	1
261	200	11840	1
262	200	7054	1
263	200	5794	1
264	200	14819	1
265	200	13057	1
266	200	5285	1
267	200	1281	1
268	200	64555	1
269	200	60577	1
270	200	5043	1
271	200	9030	1
272	200	14330	1
273	200	7019	1
274	200	62473	1
275	200	15604	1
276	200	7089	1
277	200	5796	1
278	200	6803	1
279	200	64498	1
280	200	5298	1
281	200	64578	1
282	200	4555	1
283	200	10559	1
284	200	13012	1
285	200	6046	1
286	200	8492	1
287	200	60638	1
288	200	2284	1
289	200	64494	1
290	200	63796	1
291	200	6802	1
292	200	12262	1
293	200	13569	1
294	200	15092	1
295	200	62989	1
296	200	1279	1
297	200	13560	1
298	200	7305	1
299	200	3539	1
300	200	11293	1
