5	200	51200	0
9	200	3966	1
8	200	3966	1
4	200	51200	0
7	200	51200	0
1	200	51200	0
2	200	51200	0
12	200	3966	1
19	200	51200	0
16	200	3966	1
18	200	51200	0
3	200	51200	0
10	200	51200	0
20	200	51200	0
17	200	51200	0
11	200	3966	1
13	200	51200	0
15	200	51200	0
14	200	51200	0
6	200	51200	0
21	200	51200	0
26	200	51200	0
22	200	51200	0
23	200	51200	0
24	200	51200	0
25	200	3966	1
29	200	51200	0
30	200	51200	0
34	200	47406	1
27	200	51200	0
35	200	3966	1
38	200	51200	0
31	200	51200	0
28	200	51200	0
37	200	3966	1
32	200	51200	0
40	200	3966	1
39	200	51200	0
36	200	51200	0
33	200	51200	0
42	200	51200	0
41	200	3966	1
43	200	3966	1
44	200	51200	0
45	200	51200	0
47	200	51200	0
49	200	3966	1
46	200	51200	0
48	200	51200	0
51	200	3966	1
53	200	3966	1
55	200	3966	1
50	200	3966	1
56	200	51200	0
52	200	51200	0
57	200	3966	1
54	200	51200	0
58	200	51200	0
59	200	51200	0
60	200	51200	0
62	200	51200	0
61	200	47406	1
64	200	51200	0
65	200	51200	0
63	200	3966	1
66	200	51200	0
67	200	51200	0
69	200	51200	0
68	200	3966	1
72	200	51200	0
70	200	51200	0
71	200	51200	0
73	200	47406	1
74	200	3966	1
78	200	51200	0
80	200	3966	1
75	200	51200	0
77	200	51200	0
79	200	51200	0
76	200	51200	0
92	200	0	1
85	200	51200	0
84	200	3966	1
83	200	47406	1
81	200	47406	1
82	200	51200	0
86	200	51200	0
87	200	47406	1
88	200	51200	0
89	200	51200	0
93	200	47406	1
90	200	51200	0
91	200	51200	0
95	200	3966	1
94	200	3966	1
96	200	51200	0
97	200	3966	1
98	200	3966	1
99	200	51200	0
100	200	51200	0
